Head,Tail,True_Relation,Model_Output
hole out,golf game,_synset_domain_topic_of,part-of
analogue computer,information processing system,_hypernym,is-a
caponize,emasculate,_hypernym,similar-to
resolve,resolve,_derivationally_related_form,similar-to
unravel,run,_derivationally_related_form,entails
multiple sclerosis,degenerative disorder,_hypernym,is-a
submit,submissive,_derivationally_related_form,derived-from
fleet,collection,_hypernym,is-a
suffer,suffering,_derivationally_related_form,derived-from
deal,trade,_verb_group,is-a
internal secretion,secretion,_hypernym,is-a
onychophora,velvet worm,_member_meronym,is-a
exabyte,computer memory unit,_hypernym,is-a
devastation,waste,_derivationally_related_form,similar-to
mensuration,quantify,_derivationally_related_form,is-a
see,see,_verb_group,synonym
vivify,stimulate,_hypernym,similar-to
improvize,improvisation,_derivationally_related_form,derived-from
push,paladin,_derivationally_related_form,"There is no direct lexical relation between ""push"" and ""paladin"" in the context of WordNet."
role,officiate,_derivationally_related_form,is-a
river,waterfall,_has_part,part-of
ray,ray,_derivationally_related_form,is-a
interpolate,misrepresentation,_derivationally_related_form,No direct lexical relation
controller,accounting,_derivationally_related_form,part-of
genus cyclopes,two-toed anteater,_member_meronym,is-a
picture,mental image,_hypernym,similar-to
gentian violet,vermifuge,_hypernym,No direct lexical relation
sedimentary,textile,_hypernym,No direct relation
frame,framing,_derivationally_related_form,derived-from
manis,mammal genus,_hypernym,is-a
centralization,concentrate,_derivationally_related_form,derived-from
oxidize,change,_hypernym,is-a
plural form,long johns,_member_of_domain_usage,"""is-a"""
hebrew script,aleph,_member_meronym,part-of
suction,suck in,_derivationally_related_form,similar-to
hyderabad,urban center,_instance_hypernym,is-a
suidae,mammal family,_hypernym,is-a
footnote,writing,_synset_domain_topic_of,part-of
arabian peninsula,united arab emirates,_has_part,part-of
submerge,submersion,_derivationally_related_form,derived-from
torah,numbers,_has_part,part-of
turnverein,society,_hypernym,is-a
ptilonorhynchus,bird genus,_hypernym,is-a
family avicenniaceae,asterid dicot family,_hypernym,is-a
effloresce,crystallization,_derivationally_related_form,derived-from
kennedya,rosid dicot genus,_hypernym,is-a
refutation,falsify,_derivationally_related_form,entails
take aback,surprise,_hypernym,similar-to
extrapolation,interpolate,_derivationally_related_form,antonym
heath family,genus cassiope,_member_meronym,is-a
spot,soil,_hypernym,part-of
conical,cone,_derivationally_related_form,is-a
theresa,missioner,_instance_hypernym,is-a
reprove,reproval,_derivationally_related_form,derived-from
dysfunction,medicine,_synset_domain_topic_of,related-to
yogurt,solid food,_hypernym,is-a
house of hanover,royalty,_hypernym,is-a
vermiculate,ornament,_hypernym,derived-from
dresser,tog,_derivationally_related_form,similar-to
persecute,oppressor,_derivationally_related_form,agent-of
ricochet,take a hop,_derivationally_related_form,similar-to
haggai,book,_instance_hypernym,part-of
kobenhavn,national capital,_instance_hypernym,is-a
offense,transgression,_hypernym,is-a
kingdom of denmark,arhus,_has_part,part-of
sweet elder,elderberry,_has_part,is-a
seville,port,_instance_hypernym,part-of
wrist bone,os,_hypernym,is-a
first state,wilmington,_has_part,part-of
generalization,abstract,_derivationally_related_form,is-a
glycoprotein,conjugated protein,_hypernym,is-a
genus cuculus,bird genus,_hypernym,is-a
whine,yawp,_verb_group,similar-to
tone,atmosphere,_hypernym,similar-to
woolly daisy,wildflower,_hypernym,is-a
kale,chou,_hypernym,is-a
genus carissa,magnoliopsid genus,_hypernym,is-a
genus buphthalmum,oxeye,_member_meronym,is-a
metrification,change,_hypernym,is-a
situate,find out,_hypernym,similar-to
public prosecutor,law,_synset_domain_topic_of,part-of
take on,play,_verb_group,similar-to
expeditiousness,dispatch,_derivationally_related_form,similar-to
custodianship,steward,_derivationally_related_form,is-a
john huss,social reformer,_instance_hypernym,is-a
obstructionism,thwarter,_derivationally_related_form,is-a
put up,propose,_hypernym,similar-to
post,military installation,_hypernym,is-a
nm,albuquerque,_has_part,is-a
strawman,simulacrum,_hypernym,similar-to
colloquialism,mafia,_member_of_domain_usage,is-a
strangler fig,strangler tree,_hypernym,similar-to
family eleotridae,sleeper goby,_member_meronym,is-a
interpretation,see,_derivationally_related_form,is-a
fell,stitch,_hypernym,"There is no direct lexical relation between ""fell"" and ""stitch"" in WordNet."
yardgrass,millet,_hypernym,is-a
vote,law,_synset_domain_topic_of,related-to
amoralism,school of thought,_hypernym,is-a
persecute,torment,_hypernym,similar-to
automatic pistol,automatic,_derivationally_related_form,is-a
upgrade,elevation,_derivationally_related_form,similar-to
take down,lower berth,_derivationally_related_form,no direct relation
mahimahi,mahimahi,_has_part,synonym
luxemburg,luxemburger,_member_meronym,is-a
consultation,consult,_derivationally_related_form,derived-from
grand dragon,top dog,_hypernym,similar-to
fitment,piece of furniture,_hypernym,is-a
plague,blight,_derivationally_related_form,similar-to
straight,straightness,_derivationally_related_form,derived-from
linnaea,twinflower,_member_meronym,is-a
cabinetwork,piece of furniture,_synset_domain_topic_of,is-a
ask,inquire,_verb_group,similar-to
weald,rural area,_hypernym,is-a
recompense,make up,_derivationally_related_form,similar-to
ocimum,asterid dicot genus,_hypernym,is-a
acculturate,culture,_derivationally_related_form,related-to
propose,request,_hypernym,similar-to
illuminant,light up,_derivationally_related_form,causes
beat,play,_hypernym,derived-from
iris family,sparaxis,_member_meronym,is-a
nippon,nagasaki,_has_part,part-of
circulate,lap,_derivationally_related_form,part-of
hirudinidae,hirudo,_member_meronym,is-a
wrestle,wrestling,_derivationally_related_form,derived-from
orientalist,specializer,_hypernym,is-a
power point,wall socket,_hypernym,synonym
review,assessment,_hypernym,is-a
phylum chordata,phylum,_hypernym,is-a
feel,see,_hypernym,similar-to
montia,caryophylloid dicot genus,_hypernym,is-a
icelandic,scandinavian language,_hypernym,is-a
vesiculation,vesicate,_derivationally_related_form,derived-from
genus anacyclus,asterid dicot genus,_hypernym,is-a
pretermit,skip,_derivationally_related_form,similar-to
bust,take apart,_also_see,similar-to
trade,trade,_derivationally_related_form,synonym
sonar,measuring system,_hypernym,is-a
rhabdosarcoma,sarcoma,_hypernym,is-a
military court,tribunal,_hypernym,is-a
lark,oscine bird,_hypernym,is-a
trench,ditch,_hypernym,similar-to
pharmacy,store,_hypernym,is-a
spalacidae,mammal family,_hypernym,is-a
gi tract,small intestine,_has_part,part-of
open up,opening,_derivationally_related_form,derived-from
electronic equipment,electrical circuit,_has_part,part-of
disrespect,disrespect,_derivationally_related_form,similar-to
family characidae,serrasalmus,_member_meronym,is-a
ferry,piloting,_synset_domain_topic_of,part-of
dual inline package switch,computing,_synset_domain_topic_of,part-of
subfamily papilionoideae,vigna,_member_meronym,is-a
mihrab,muslimism,_synset_domain_topic_of,"""part-of"""
subfamily papilionoideae,rosid dicot family,_hypernym,part-of
lepidopterologist,lepidoptery,_derivationally_related_form,studies
scheme,scheme,_derivationally_related_form,similar-to
cervical artery,artery,_hypernym,is-a
boot,toecap,_has_part,part-of
wangle,wangling,_derivationally_related_form,derived-from
genus diospyros,ebony tree,_member_meronym,is-a
winding-sheet,shroud,_derivationally_related_form,similar-to
libidinal energy,psychoanalysis,_synset_domain_topic_of,part-of
failure,skip,_hypernym,derived-from
relatedness,connexion,_hypernym,similar-to
low quality,inferior,_derivationally_related_form,similar-to
ontario,niagara falls,_has_part,part-of
strike hard,upset,_also_see,similar-to
witness,look,_derivationally_related_form,is-a
zaire,luluabourg,_has_part,part-of
respecter,follower,_hypernym,is-a
thief,outlaw,_hypernym,is-a
centaury,flower,_hypernym,is-a
make full,filler,_derivationally_related_form,part-of
inheritance,genetics,_synset_domain_topic_of,derived-from
reinforcing stimulus,psychology,_synset_domain_topic_of,is-a
believe,belief,_derivationally_related_form,derived-from
socialist people's libyan arab jamahiriya,libyan islamic group,_member_of_domain_region,"""part-of"""
yaltopya,ethiopian,_member_meronym,derived-from
introvert,psychology,_synset_domain_topic_of,is-a
vitrine,container,_hypernym,is-a
self-propelled vehicle,wheeled vehicle,_hypernym,is-a
sepoy mutiny,uprising,_instance_hypernym,is-a
sculpture,work,_hypernym,is-a
implantation,surgical process,_hypernym,part-of
horripilate,receive,_hypernym,"There is no direct lexical relation between ""horripilate"" and ""receive"" in the context of WordNet."
suborder sauropoda,titanosauridae,_member_meronym,is-a
nippon,asian nation,_instance_hypernym,is-a
breathing time,take a breather,_derivationally_related_form,similar-to
crayfish,decapod crustacean,_hypernym,is-a
suborder,biology,_synset_domain_topic_of,part-of
tribesman,member,_hypernym,is-a
utilize,practical application,_derivationally_related_form,"""has-instance"""
beater,implement,_hypernym,is-a
nineties,time of life,_hypernym,is-a
irish capital,national capital,_instance_hypernym,is-a
sort out,division,_derivationally_related_form,derived-from
forge,making,_derivationally_related_form,part-of
behaviouristic psychology,behaviourist,_derivationally_related_form,is-a
stooge,stooge,_derivationally_related_form,synonym
domed stadium,stadium,_hypernym,is-a
reciprocity,reciprocal,_derivationally_related_form,derived-from
possession,possessor,_derivationally_related_form,part-of
outline,portrayal,_derivationally_related_form,similar-to
vitiate,spoiling,_derivationally_related_form,similar-to
tergiversate,repudiate,_hypernym,similar-to
subservience,servile,_derivationally_related_form,similar-to
neanderthalian,neanderthal man,_derivationally_related_form,is-a
snarl,verbalize,_hypernym,derived-from
require,commandment,_derivationally_related_form,derived-from
ballyhoo,plug,_derivationally_related_form,synonym
tangle,tangle,_derivationally_related_form,similar-to
skirmish,scrap,_hypernym,similar-to
sexual conquest,seduction,_hypernym,is-a
genus calochortus,globe lily,_member_meronym,is-a
phleum,timothy,_member_meronym,is-a
take a hop,bounciness,_derivationally_related_form,related-to
silo,military installation,_hypernym,part-of
heloderma,reptile genus,_hypernym,is-a
stimulate,inducing,_derivationally_related_form,similar-to
republic of ecuador,south american nation,_instance_hypernym,is-a
turmeric,herbaceous plant,_hypernym,is-a
cloister,cloister,_derivationally_related_form,synonym
sediment,situate,_hypernym,No direct lexical relation
sandarac,wood,_hypernym,derived-from
schmooze,visit,_derivationally_related_form,similar-to
bergen,urban center,_instance_hypernym,is-a
the nazarene,word,_instance_hypernym,is-a
milk,milk,_derivationally_related_form,synonym
commercial instrument,written document,_hypernym,is-a
gravida,woman,_hypernym,is-a
apostle,new testament,_synset_domain_topic_of,part-of
slider,slue,_derivationally_related_form,"The concepts ""slider"" and ""slue"" do not have a direct lexical relation in WordNet. However, if we consider their meanings, ""slider"" refers to something that slides or is used for sliding, while ""slue"" refers to"
lock,deadbolt,_has_part,part-of
pleiospilos,caryophylloid dicot genus,_hypernym,is-a
monetization,monetize,_derivationally_related_form,derived-from
pruning hook,trim,_derivationally_related_form,is-a
love,love,_derivationally_related_form,synonym
satisfaction,restitution,_hypernym,derived-from
vesture,wearable,_derivationally_related_form,is-a
sewer,stitch,_derivationally_related_form,part-of
shutdown,termination,_hypernym,is-a
diet,nutritionist,_derivationally_related_form,related-to
united kingdom of great britain and northern ireland,cupper,_member_of_domain_region,No direct lexical relation
anti,soul,_hypernym,"There is no direct lexical relation between ""anti"" and ""soul"" in the context of WordNet."
vestibular sense,equilibrize,_derivationally_related_form,related-to
train,take,_hypernym,is-a
resort,utilize,_hypernym,No direct lexical relation
look,suss out,_also_see,similar-to
flag,flag,_derivationally_related_form,similar-to
filename extension,string,_hypernym,part-of
guiana,guyana,_has_part,similar-to
strangulate,squeeze,_hypernym,similar-to
fine arts,liberal arts,_hypernym,is-a
superclass gnathostomata,class,_hypernym,is-a
bold,courageous,_also_see,similar-to
suddenness,sudden,_derivationally_related_form,derived-from
family annonaceae,genus asimina,_member_meronym,is-a
surcease,stop,_derivationally_related_form,similar-to
postural,posture,_derivationally_related_form,derived-from
nail,nail,_derivationally_related_form,is-a
pain in the neck,negative stimulus,_hypernym,is-a
family colubridae,genus arizona,_member_meronym,is-a
settle,settlement,_derivationally_related_form,derived-from
genus damaliscus,mammal genus,_hypernym,is-a
genus arctostaphylos,bearberry,_member_meronym,is-a
borrowing,take up,_derivationally_related_form,similar-to
genus acanthurus,fish genus,_hypernym,is-a
wish,wish,_derivationally_related_form,synonym
excite,raise,_hypernym,similar-to
interpretive program,programme,_hypernym,is-a
waterway,way,_hypernym,is-a
treble recorder,vertical flute,_hypernym,is-a
accident,mishap,_hypernym,similar-to
percipient,take note,_derivationally_related_form,similar-to
timer,sport,_synset_domain_topic_of,part-of
frivolousness,frivolous,_derivationally_related_form,derived-from
vitalization,vitalize,_derivationally_related_form,derived-from
ordeal tree,shrub,_hypernym,is-a
lie,be,_hypernym,is-a
self-feeder,machine,_hypernym,is-a
fragmentation,explosion,_hypernym,part-of
fling,throw,_hypernym,similar-to
trade name,clomiphene citrate,_member_of_domain_usage,is-a
target,victim,_hypernym,is-a
turdidae,luscinia,_member_meronym,is-a
understate,inform,_hypernym,similar-to
hylidae,genus acris,_member_meronym,is-a
table,tableware,_has_part,part-of
suck in,hollow out,_hypernym,similar-to
coloured,bowdlerization,_similar_to,"There is no direct lexical relation between ""coloured"" and ""bowdlerization"" in the context of WordNet."
muliebrity,trait,_hypernym,is-a
typify,symbol,_derivationally_related_form,"""related-to"""
family cestidae,ctenophore family,_hypernym,is-a
sweetener,snare,_derivationally_related_form,"There is no direct lexical relation between ""sweetener"" and ""snare"" in the context of WordNet."
impact,striking,_hypernym,similar-to
planting,plant,_derivationally_related_form,derived-from
synthesizer,keyboard instrument,_hypernym,is-a
take over,repeater,_derivationally_related_form,"There is no direct lexical relation between ""take over"" and ""repeater"" in the context of WordNet."
tear,tear up,_also_see,derived-from
chariot,horse-drawn vehicle,_hypernym,is-a
new zealand,returning officer,_member_of_domain_region,No direct relation
tell,telling,_derivationally_related_form,derived-from
refrigerator,white goods,_hypernym,is-a
vulgarism,shtup,_member_of_domain_usage,is-a
scamp,youngster,_hypernym,is-a
prexy,presidential term,_derivationally_related_form,part-of
snickersnee,scrap,_hypernym,No direct lexical relation
see,understand,_verb_group,similar-to
zygomycetes,class,_hypernym,is-a
saving,protection,_hypernym,similar-to
wickedness,offensiveness,_hypernym,similar-to
stag,spying,_derivationally_related_form,"There is no direct lexical relation between ""stag"" and ""spying"" in the context of WordNet."
mayetiola,mayetiola destructor,_member_meronym,is-a
imperial capacity unit,dry unit,_hypernym,is-a
rose family,rubus,_member_meronym,is-a
lateral line organ,sensory receptor,_hypernym,part-of
zonotrichia,bird genus,_hypernym,is-a
visit,tour,_hypernym,similar-to
technologist,technology,_derivationally_related_form,related-to
genus bartramia,bird genus,_hypernym,is-a
review,reappraise,_derivationally_related_form,similar-to
principality of andorra,european nation,_instance_hypernym,is-a
trade name,saran wrap,_member_of_domain_usage,is-a
mccormick,producer,_instance_hypernym,is-a
stock,sprout,_derivationally_related_form,part-of
production,manufacture,_hypernym,is-a
the hill,hill,_instance_hypernym,is-a
underdrawers,underpants,_hypernym,similar-to
wife,woman,_hypernym,is-a
fertile crescent,geographical region,_instance_hypernym,is-a
static,noise,_hypernym,unrelated
overvalue,value,_hypernym,derived-from
decay,unsoundness,_hypernym,is-a
sleigh,sledding,_derivationally_related_form,is-a
high holy day,jewish holy day,_hypernym,is-a
territorial,war machine,_synset_domain_topic_of,part-of
fraction,divisible,_derivationally_related_form,related-to
female reproductive system,vulva,_has_part,part-of
prophets,sacred writing,_instance_hypernym,related-to
rhiptoglossa,reptile family,_hypernym,is-a
iron collar,instrument of execution,_hypernym,is-a
stray,drifting,_derivationally_related_form,similar-to
sustain,holder,_derivationally_related_form,part-of
plant life,hood,_has_part,"There is no direct lexical relation between ""plant life"" and ""hood"" in the context of WordNet."
mustard family,genus crambe,_member_meronym,is-a
violate,rapine,_derivationally_related_form,is-a
star,star,_derivationally_related_form,similar-to
rose louise hovick,stripteaser,_instance_hypernym,derived-from
level,surface,_hypernym,part-of
genus bignonia,trumpet flower,_member_meronym,is-a
kill,kill,_verb_group,similar-to
musician,musicianship,_derivationally_related_form,derived-from
improvisation,creation,_hypernym,is-a
photosynthesis,plant life,_synset_domain_topic_of,part-of
dispatch,write up,_hypernym,is-a
euphemism,jail delivery,_member_of_domain_usage,is-a
show,demonstration,_derivationally_related_form,is-a
motor vehicle,car wheel,_has_part,part-of
underwrite,underwriter,_derivationally_related_form,derived-from
develop,formulate,_verb_group,similar-to
tally,tally,_derivationally_related_form,similar-to
rna,biochemistry,_synset_domain_topic_of,part-of
roadblock,barricado,_derivationally_related_form,similar-to
stockist,stock,_derivationally_related_form,sells
throbbing,throb,_derivationally_related_form,derived-from
train,refine,_hypernym,derived-from
divestiture,court order,_hypernym,"""related-to"""
nuclear deterrence,war machine,_synset_domain_topic_of,related-to
swag,cut,_has_part,"The concepts ""swag"" and ""cut"" do not have a direct lexical relation in WordNet. However, if we consider potential meanings, ""swag"" as a noun can refer to a decorative garland or a curtain, and ""cut"
nonsolid colour,computing,_synset_domain_topic_of,is-a
private enterprise,economy,_hypernym,part-of
robert owen,social reformer,_instance_hypernym,is-a
sami,european,_hypernym,is-a
pottery,ceramic ware,_hypernym,is-a
united kingdom of great britain and northern ireland,wog,_member_of_domain_region,No direct lexical relation
jewish holy day,religious holiday,_hypernym,is-a
revision,revise,_derivationally_related_form,derived-from
suppressor,suppress,_derivationally_related_form,derived-from
cinnamon bark,bark,_hypernym,part-of
publishing house,release,_derivationally_related_form,part-of
irregular,illegal,_also_see,similar-to
soil,modify,_hypernym,related-to
unrhythmical,irregular,_also_see,similar-to
diagonal,set,_hypernym,"There is no direct lexical relation between ""diagonal"" and ""set"" in the context of WordNet."
gettysburg,pitched battle,_instance_hypernym,is-a
strength,strong,_derivationally_related_form,derived-from
pail,vessel,_hypernym,is-a
wheel,saddle,_has_part,part-of
tolerance,tolerate,_derivationally_related_form,derived-from
simulacrum,representation,_hypernym,is-a
wisconsin,american state,_instance_hypernym,is-a
climber,mount,_derivationally_related_form,part-of
yield,stretch,_hypernym,"The concepts ""yield"" and ""stretch"" do not have a direct lexical relation in WordNet. However, if we consider their meanings, a possible relation could be ""related-to"" in a broader sense, as both can involve the idea of giving"
junto,cabalist,_member_meronym,No direct relation
vein of penis,venous blood vessel,_hypernym,part-of
vamoose,leave,_hypernym,Similar-to
trusty,reliable,_also_see,similar-to
lepidochelys,reptile genus,_hypernym,is-a
mulberry family,morus,_member_meronym,is-a
prefabricate,construction,_synset_domain_topic_of,part-of
polynesia,polynesian,_member_meronym,is-a
turncoat,tell on,_derivationally_related_form,No direct relation
step on it,swiftness,_derivationally_related_form,related-to
thymelaeales,lythraceae,_member_meronym,is-a
withdrawer,withdraw,_derivationally_related_form,derived-from
landscapist,designer,_hypernym,is-a
observatory,structure,_hypernym,is-a
digital communication,electronic communication,_hypernym,similar-to
just,fairness,_derivationally_related_form,similar-to
moan,whiner,_derivationally_related_form,agent-of
bitterwood tree,tree,_hypernym,is-a
tribulus terestris,suffrutex,_hypernym,is-a
genus kniphofia,tritoma,_member_meronym,is-a
product,upshot,_hypernym,derived-from
task,job,_derivationally_related_form,is-a
mesh,tangle,_hypernym,similar-to
suspense,uncertainty,_hypernym,similar-to
justness,natural virtue,_hypernym,is-a
gesture,movement,_hypernym,is-a
cowpens,pitched battle,_instance_hypernym,is-a
request,request,_derivationally_related_form,synonym
slight,snub,_derivationally_related_form,similar-to
lydia,geographical region,_instance_hypernym,"""part-of"""
laurel family,laurel,_member_meronym,is-a
newman,theologizer,_instance_hypernym,is-a
linguistic unit,portion,_hypernym,part-of
sulcus,general anatomy,_synset_domain_topic_of,part-of
shortener,agent,_hypernym,is-a
felicitous,felicity,_derivationally_related_form,derived-from
concrete,conglutination,_derivationally_related_form,derived-from
immune system,marrow,_has_part,part-of
ultranationalism,patriotism,_hypernym,similar-to
salad greens,leafy vegetable,_hypernym,is-a
chinese deity,immortal,_hypernym,is-a
genus acrocomia,monocot genus,_hypernym,is-a
scratch,etch,_verb_group,similar-to
refund,return,_derivationally_related_form,similar-to
rhine wine,white wine,_hypernym,is-a
pet,pet,_derivationally_related_form,synonym
maracaibo,port,_instance_hypernym,part-of
amphibious operation,war machine,_synset_domain_topic_of,part-of
salviniaceae,salvinia,_member_meronym,is-a
pounding,blow,_hypernym,similar-to
omelette,dish,_hypernym,is-a
knickers,trouser,_hypernym,is-a
react,resister,_derivationally_related_form,antonym
witch,witch,_derivationally_related_form,synonym
ophiophagus,reptile genus,_hypernym,is-a
striving,strive,_derivationally_related_form,derived-from
squeezing,twitch,_derivationally_related_form,similar-to
rima oris,salivary gland,_has_part,part-of
temple,judaism,_synset_domain_topic_of,part-of
position,position,_derivationally_related_form,similar-to
disobedient,unregenerate,_also_see,similar-to
orthodontist,tooth doctor,_hypernym,is-a
parcelling,distribution,_hypernym,part-of
zing,dynamical,_derivationally_related_form,"There is no direct lexical relation between ""zing"" and ""dynamical"" in WordNet. However, if we consider their meanings, ""zing"" refers to energy or enthusiasm, while ""dynamical"" relates to dynamics or forces causing motion"
introduce,origination,_derivationally_related_form,derived-from
purity,sublimate,_derivationally_related_form,derived-from
plantae,pteridophyta,_member_meronym,is-a
colourlessness,visual property,_hypernym,is-a
pass,transit,_also_see,similar-to
hack,pearly,_derivationally_related_form,"There is no direct lexical relation between ""hack"" and ""pearly"" in the context of WordNet."
specify,terminus ad quem,_derivationally_related_form,is-a
thunder,yowl,_derivationally_related_form,similar-to
perennate,perennation,_derivationally_related_form,derived-from
historiographer,student,_hypernym,is-a
roman deity,immortal,_hypernym,is-a
genus bombax,simal,_member_meronym,is-a
proscription,veto,_derivationally_related_form,similar-to
order gruiformes,rallidae,_member_meronym,is-a
surfeit,feeding,_hypernym,related-to
predication,proclaim,_derivationally_related_form,"""derived-from"""
discombobulation,throw,_derivationally_related_form,derived-from
amphitheatre,tiered seat,_has_part,part-of
typographer,typography,_derivationally_related_form,related-to
genus allium,wild onion,_member_meronym,is-a
winter's bark tree,tree,_hypernym,is-a
nehemiah,book,_instance_hypernym,is-a
cube,dice,_derivationally_related_form,is-a
distinction,secernment,_hypernym,similar-to
united states liquid unit,liquid unit,_hypernym,is-a
smell,smell,_derivationally_related_form,synonym
hyperemesis,vomiting,_hypernym,is-a
synchronize,take place,_hypernym,is-a
symplocaceae,symplocus,_member_meronym,is-a
elegant,tasteful,_also_see,similar-to
novelize,fictionalization,_derivationally_related_form,derived-from
exchange,interchange,_derivationally_related_form,similar-to
jugale,craniometric point,_hypernym,is-a
malversation,peculate,_derivationally_related_form,similar-to
family cyatheaceae,genus cyathea,_member_meronym,is-a
tug,undertaking,_derivationally_related_form,is-a
mitzvah,judaism,_synset_domain_topic_of,part-of
united kingdom of great britain and northern ireland,fairy light,_member_of_domain_region,no direct relation
break,split up,_derivationally_related_form,similar-to
mullah,muslim,_hypernym,is-a
work out,solving,_derivationally_related_form,similar-to
semitic deity,antiquity,_synset_domain_topic_of,part-of
dynamitist,dynamite,_derivationally_related_form,uses
future progressive tense,progressive tense,_hypernym,is-a
germany,hanover,_has_part,part-of
manufacture,manufacture,_derivationally_related_form,synonym
uniform,uniformity,_derivationally_related_form,derived-from
retrieve,get,_hypernym,similar-to
stopover,stop over,_derivationally_related_form,derived-from
genus chimaphila,dilleniid dicot genus,_hypernym,is-a
burr,burr,_derivationally_related_form,synonym
equality,sameness,_hypernym,similar-to
bludgeon,club,_derivationally_related_form,is-a
intense,profound,_also_see,similar-to
order decapoda,animal order,_hypernym,is-a
persea americana,avocado pear,_has_part,is-a
volcano islands,archipelago,_instance_hypernym,part-of
impoverish,privation,_derivationally_related_form,similar-to
speed,velocity,_derivationally_related_form,similar-to
licking,negativist,_derivationally_related_form,"There is no direct lexical relation between ""licking"" and ""negativist"" in the context of WordNet."
venturer,venture,_derivationally_related_form,is-a
st. paul,apostle,_instance_hypernym,is-a
vaticinator,vaticinate,_derivationally_related_form,derived-from
genus noctiluca,protoctist genus,_hypernym,is-a
sunup,aurorean,_derivationally_related_form,similar-to
open,start up,_hypernym,similar-to
republic of the philippines,rpa-abb,_member_of_domain_region,No direct relation
replay,take on,_hypernym,"There is no direct lexical relation between ""replay"" and ""take on"" in WordNet. However, if forced to choose a relation, ""replay"" and ""take on"" could be considered as ""similar-to"" in the sense that"
fledge,plume,_derivationally_related_form,part-of
sureness,sure,_derivationally_related_form,derived-from
demarcate,tell apart,_hypernym,similar-to
lysichitum,monocot genus,_hypernym,is-a
paleface,white person,_hypernym,synonym
pray,plead,_hypernym,similar-to
ambassadorship,embassador,_derivationally_related_form,is-a
alchemize,chemistry,_synset_domain_topic_of,derived-from
effect,upshot,_derivationally_related_form,similar-to
australopithecine,hominid,_hypernym,is-a
stumble,gait,_hypernym,manner-of
attest,verify,_hypernym,similar-to
family bruchidae,arthropod family,_hypernym,is-a
plural form,suspender,_member_of_domain_usage,No direct lexical relation
wideness,largeness,_hypernym,similar-to
promise,declare,_hypernym,"""similar-to"""
suffer,pain,_derivationally_related_form,causes
nan ling,range of mountains,_instance_hypernym,is-a
algonquin,red indian,_hypernym,is-a
fall under,represent,_hypernym,is-a
nullifier,void,_derivationally_related_form,derived-from
sign,sign,_derivationally_related_form,is-a
waterleaf family,genus phacelia,_member_meronym,is-a
pigment,colouring material,_hypernym,is-a
gerea,asterid dicot genus,_hypernym,is-a
fittingness,suitableness,_hypernym,similar-to
pull,tugger,_derivationally_related_form,agent-of
pubococcygeus exercises,workout,_hypernym,is-a
graze,grazing,_derivationally_related_form,derived-from
family dactylopiidae,genus dactylopius,_member_meronym,is-a
use,usance,_derivationally_related_form,derived-from
shoot,shoot,_verb_group,similar-to
trust,committee,_derivationally_related_form,part-of
indian ocean,antarctic ocean,_has_part,sibling
vaticinate,vaticinator,_derivationally_related_form,derived-from
unhappiness,spirit,_hypernym,derived-from
ladle,vessel,_hypernym,part-of
kilogram,hg,_has_part,part-of
sway,tilt,_derivationally_related_form,similar-to
order,suborder,_member_meronym,is-a
vitality,healthiness,_hypernym,similar-to
genus atropa,asterid dicot genus,_hypernym,is-a
ibn-sina,philosopher,_instance_hypernym,is-a
shaft,rib,_hypernym,part-of
presumptuousness,presume,_derivationally_related_form,derived-from
serial printer,printing machine,_hypernym,is-a
spouse equivalent,soul,_hypernym,no direct relation
chlamydia,true bacteria,_hypernym,is-a
america,north america,_has_part,part-of
whop,hit,_hypernym,similar-to
worker,perform,_derivationally_related_form,agent-of
squandermania,government activity,_synset_domain_topic_of,is-a
wipeout,wipe out,_derivationally_related_form,derived-from
fire,preparation,_synset_domain_topic_of,derived-from
drms,office,_hypernym,"WordNet does not contain the concept ""drms,"" so I cannot determine a specific lexical relation between ""drms"" and ""office."""
preventive,prevent,_derivationally_related_form,derived-from
retard,be,_hypernym,is-a
heart muscle,muscular tissue,_hypernym,is-a
may,may 24,_has_part,part-of
light up,illumination,_derivationally_related_form,causes
particular,detail,_derivationally_related_form,part-of
bow legs,impairment,_hypernym,is-a
crush,pack together,_derivationally_related_form,similar-to
pteridium,pteridium aquilinum,_member_meronym,is-a
linear,add,_derivationally_related_form,No direct relation
trembler,quiver,_derivationally_related_form,similar-to
virginia,blue ridge mountains,_has_part,part-of
overhead,computing,_synset_domain_topic_of,part-of
exsiccate,desiccation,_derivationally_related_form,derived-from
lexis,noesis,_hypernym,is-a
genus amorphophallus,umbrella arum,_member_meronym,is-a
facial hair,hair,_hypernym,part-of
ticking,tick,_derivationally_related_form,derived-from
wreak,stir,_also_see,similar-to
spread,spread,_derivationally_related_form,similar-to
marshall,commissioned military officer,_hypernym,is-a
table,postponement,_derivationally_related_form,No direct lexical relation
weather,weather condition,_derivationally_related_form,is-a
family compositae,machaeranthera,_member_meronym,is-a
misrepresentation,untruth,_hypernym,similar-to
eating utensil,hold,_has_part,part-of
start,origination,_derivationally_related_form,is-a
judgment of dismissal,law,_synset_domain_topic_of,"""is-a"""
penmanship,calligraphist,_derivationally_related_form,related-to
genus chrysothamnus,goldenbush,_member_meronym,is-a
emulate,simulate,_hypernym,similar-to
trot,trot,_derivationally_related_form,synonym
crowd,herd,_derivationally_related_form,similar-to
